DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2018-Q4,39938.8,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2019-Q1,40472.0,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2019-Q2,40572.5,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2019-Q3,40823.9,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2019-Q4,41066.6,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2020-Q1,40211.9,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2020-Q2,35035.1,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2020-Q3,39639.2,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2020-Q4,39550.5,,
ESTAT:NAMQ_10_GDP(1.0),01/04/26 23:00:00,Quarterly,"Chain linked volumes (2015), million euro",Seasonally and calendar adjusted data,Final consumption expenditure,Portugal,2021-Q1,38108.3,,
